country,gender,age,insured_rates
ITA,M,0,0.0240126
ITA,M,1,0.001691
ITA,M,2,0.0007672
ITA,M,3,0.0005376
ITA,M,4,0.0003705
ITA,M,5,0.0002923
ITA,M,6,0.0002923
ITA,M,7,0.0002401
ITA,M,8,0.0002453
ITA,M,9,0.0002088
ITA,M,10,0.0001931
ITA,M,11,0.0002244
ITA,M,12,0.0002087
ITA,M,13,0.0002386
ITA,M,14,0.0002834
ITA,M,15,0.0003497
ITA,M,16,0.0004185
ITA,M,17,0.0004792
ITA,M,18,0.0005394
ITA,M,19,0.0005602
ITA,M,20,0.0005325
ITA,M,21,0.0005261
ITA,M,22,0.0005176
ITA,M,23,0.0005084
ITA,M,24,0.000492
ITA,M,25,0.0005063
ITA,M,26,0.0005285
ITA,M,27,0.0005722
ITA,M,28,0.0006343
ITA,M,29,0.000705
ITA,M,30,0.0007737
ITA,M,31,0.0008088
ITA,M,32,0.0008397
ITA,M,33,0.0008465
ITA,M,34,0.0008777
ITA,M,35,0.0008286
ITA,M,36,0.0007505
ITA,M,37,0.0006981
ITA,M,38,0.0007063
ITA,M,39,0.0007092
ITA,M,40,0.0007345
ITA,M,41,0.0007606
ITA,M,42,0.0007913
ITA,M,43,0.0008199
ITA,M,44,0.0008985
ITA,M,45,0.0009637
ITA,M,46,0.0010354
ITA,M,47,0.001096
ITA,M,48,0.0011823
ITA,M,49,0.0012088
ITA,M,50,0.0012923
ITA,M,51,0.0013919
ITA,M,52,0.0015033
ITA,M,53,0.0016464
ITA,M,54,0.0018031
ITA,M,55,0.0019684
ITA,M,56,0.0021357
ITA,M,57,0.0023096
ITA,M,58,0.0024865
ITA,M,59,0.0026909
ITA,M,60,0.002943
ITA,M,61,0.0032906
ITA,M,62,0.0037034
ITA,M,63,0.0041877
ITA,M,64,0.0047046
ITA,M,65,0.0051602
ITA,M,66,0.0055759
ITA,M,67,0.0060505
ITA,M,68,0.0065746
ITA,M,69,0.0071925
ITA,M,70,0.0079275
ITA,M,71,0.0088034
ITA,M,72,0.0099094
ITA,M,73,0.011208
ITA,M,74,0.0127147
ITA,M,75,0.0144174
ITA,M,76,0.0163614
ITA,M,77,0.0187079
ITA,M,78,0.0216395
ITA,M,79,0.0249204
ITA,M,80,0.0286174
ITA,M,81,0.0324745
ITA,M,82,0.0367274
ITA,M,83,0.0416385
ITA,M,84,0.0475007
ITA,M,85,0.053926
ITA,M,86,0.0612098
ITA,M,87,0.0696619
ITA,M,88,0.0800783
ITA,M,89,0.0926431
ITA,M,90,0.1062691
ITA,M,91,0.1178387
ITA,M,92,0.1267219
ITA,M,93,0.1337963
ITA,M,94,0.1425043
ITA,M,95,0.1539454
ITA,M,96,0.167373
ITA,M,97,0.1760514
ITA,M,98,0.1850947
ITA,M,99,0.1986134
ITA,M,100,0.2207571
ITA,F,0,0.0244809
ITA,F,1,0.0020791
ITA,F,2,0.0007765
ITA,F,3,0.0005005
ITA,F,4,0.0003914
ITA,F,5,0.0003144
ITA,F,6,0.0002374
ITA,F,7,0.0001797
ITA,F,8,0.0001604
ITA,F,9,0.000154
ITA,F,10,0.0001797
ITA,F,11,0.000154
ITA,F,12,0.0001548
ITA,F,13,0.000164
ITA,F,14,0.0001755
ITA,F,15,0.0001957
ITA,F,16,0.0001983
ITA,F,17,0.000203
ITA,F,18,0.0002102
ITA,F,19,0.0002237
ITA,F,20,0.0002207
ITA,F,21,0.000206
ITA,F,22,0.0001976
ITA,F,23,0.0002087
ITA,F,24,0.0002157
ITA,F,25,0.0002178
ITA,F,26,0.0002249
ITA,F,27,0.0002386
ITA,F,28,0.00025
ITA,F,29,0.0002763
ITA,F,30,0.0003198
ITA,F,31,0.000346
ITA,F,32,0.0003576
ITA,F,33,0.0003956
ITA,F,34,0.0004112
ITA,F,35,0.0004088
ITA,F,36,0.0004119
ITA,F,37,0.0004076
ITA,F,38,0.0004302
ITA,F,39,0.0004618
ITA,F,40,0.0004833
ITA,F,41,0.0005041
ITA,F,42,0.0005397
ITA,F,43,0.0005816
ITA,F,44,0.0006267
ITA,F,45,0.0006705
ITA,F,46,0.0007236
ITA,F,47,0.0007908
ITA,F,48,0.0008662
ITA,F,49,0.0009336
ITA,F,50,0.0010052
ITA,F,51,0.0010828
ITA,F,52,0.0011676
ITA,F,53,0.0012549
ITA,F,54,0.0013432
ITA,F,55,0.0014362
ITA,F,56,0.0015272
ITA,F,57,0.0016157
ITA,F,58,0.0016986
ITA,F,59,0.0018082
ITA,F,60,0.0019283
ITA,F,61,0.0020505
ITA,F,62,0.0021879
ITA,F,63,0.0023502
ITA,F,64,0.0025283
ITA,F,65,0.0027305
ITA,F,66,0.0029742
ITA,F,67,0.0032372
ITA,F,68,0.003538
ITA,F,69,0.0038887
ITA,F,70,0.0043033
ITA,F,71,0.00477
ITA,F,72,0.0053337
ITA,F,73,0.0060051
ITA,F,74,0.0067626
ITA,F,75,0.0076289
ITA,F,76,0.008621
ITA,F,77,0.0097568
ITA,F,78,0.0112566
ITA,F,79,0.0131249
ITA,F,80,0.0153803
ITA,F,81,0.0182702
ITA,F,82,0.0213629
ITA,F,83,0.0248782
ITA,F,84,0.0290415
ITA,F,85,0.0337524
ITA,F,86,0.0391464
ITA,F,87,0.0456563
ITA,F,88,0.0535636
ITA,F,89,0.0630577
ITA,F,90,0.073558
ITA,F,91,0.0825566
ITA,F,92,0.0902443
ITA,F,93,0.098114
ITA,F,94,0.1072306
ITA,F,95,0.1184356
ITA,F,96,0.1314456
ITA,F,97,0.1420432
ITA,F,98,0.1538227
ITA,F,99,0.1694492
ITA,F,100,0.1903485
