country;gender;age;smoker;rates
ITA;M;20;Yes;0,00062125
ITA;M;20;No;0,00044375
ITA;M;21;Yes;0,000613783333333333
ITA;M;21;No;0,000438416666666667
ITA;M;22;Yes;0,000603866666666667
ITA;M;22;No;0,000431333333333333
ITA;M;23;Yes;0,000593133333333333
ITA;M;23;No;0,000423666666666667
ITA;M;24;Yes;0,000574
ITA;M;24;No;0,00041
ITA;M;25;Yes;0,000590683333333333
ITA;M;25;No;0,000421916666666667
ITA;M;26;Yes;0,000616583333333333
ITA;M;26;No;0,000440416666666667
ITA;M;27;Yes;0,000667566666666667
ITA;M;27;No;0,000476833333333333
ITA;M;28;Yes;0,000740016666666667
ITA;M;28;No;0,000528583333333333
ITA;M;29;Yes;0,0008225
ITA;M;29;No;0,0005875
ITA;M;30;Yes;0,00090265
ITA;M;30;No;0,00064475
ITA;M;31;Yes;0,0009436
ITA;M;31;No;0,000674
ITA;M;32;Yes;0,00097965
ITA;M;32;No;0,00069975
ITA;M;33;Yes;0,000987583333333333
ITA;M;33;No;0,000705416666666667
ITA;M;34;Yes;0,00102398333333333
ITA;M;34;No;0,000731416666666667
ITA;M;35;Yes;0,0009667
ITA;M;35;No;0,0006905
ITA;M;36;Yes;0,000875583333333333
ITA;M;36;No;0,000625416666666667
ITA;M;37;Yes;0,00081445
ITA;M;37;No;0,00058175
ITA;M;38;Yes;0,000824016666666667
ITA;M;38;No;0,000588583333333333
ITA;M;39;Yes;0,0008274
ITA;M;39;No;0,000591
ITA;M;40;Yes;0,000856916666666667
ITA;M;40;No;0,000612083333333333
ITA;M;41;Yes;0,000887366666666667
ITA;M;41;No;0,000633833333333333
ITA;M;42;Yes;0,000923183333333334
ITA;M;42;No;0,000659416666666667
ITA;M;43;Yes;0,00095655
ITA;M;43;No;0,00068325
ITA;M;44;Yes;0,00104825
ITA;M;44;No;0,00074875
ITA;M;45;Yes;0,00112431666666667
ITA;M;45;No;0,000803083333333333
ITA;M;46;Yes;0,00120796666666667
ITA;M;46;No;0,000862833333333333
ITA;M;47;Yes;0,00127866666666667
ITA;M;47;No;0,000913333333333333
ITA;M;48;Yes;0,00137935
ITA;M;48;No;0,00098525
ITA;M;49;Yes;0,00141026666666667
ITA;M;49;No;0,00100733333333333
ITA;M;50;Yes;0,00150768333333333
ITA;M;50;No;0,00107691666666667
ITA;M;51;Yes;0,00162388333333333
ITA;M;51;No;0,00115991666666667
ITA;M;52;Yes;0,00175385
ITA;M;52;No;0,00125275
ITA;M;53;Yes;0,0019208
ITA;M;53;No;0,001372
ITA;M;54;Yes;0,00210361666666667
ITA;M;54;No;0,00150258333333333
ITA;M;55;Yes;0,00229646666666667
ITA;M;55;No;0,00164033333333333
ITA;M;56;Yes;0,00249165
ITA;M;56;No;0,00177975
ITA;M;57;Yes;0,00269453333333333
ITA;M;57;No;0,00192466666666667
ITA;M;58;Yes;0,00290091666666667
ITA;M;58;No;0,00207208333333333
ITA;M;59;Yes;0,00313938333333333
ITA;M;59;No;0,00224241666666667
ITA;M;60;Yes;0,0034335
ITA;M;60;No;0,0024525
ITA;M;61;Yes;0,00383903333333333
ITA;M;61;No;0,00274216666666667
ITA;M;62;Yes;0,00432063333333333
ITA;M;62;No;0,00308616666666667
ITA;M;63;Yes;0,00488565
ITA;M;63;No;0,00348975
ITA;M;64;Yes;0,0054887
ITA;M;64;No;0,0039205
ITA;M;65;Yes;0,00602023333333333
ITA;M;65;No;0,00430016666666667
ITA;M;66;Yes;0,00650521666666667
ITA;M;66;No;0,00464658333333333
ITA;M;67;Yes;0,00705891666666667
ITA;M;67;No;0,00504208333333333
ITA;M;68;Yes;0,00767036666666667
ITA;M;68;No;0,00547883333333333
ITA;M;69;Yes;0,00839125
ITA;M;69;No;0,00599375
ITA;M;70;Yes;0,00924875
ITA;M;70;No;0,00660625
ITA;M;71;Yes;0,0102706333333333
ITA;M;71;No;0,00733616666666667
ITA;M;72;Yes;0,0115609666666667
ITA;M;72;No;0,00825783333333334
ITA;M;73;Yes;0,013076
ITA;M;73;No;0,00934
ITA;M;74;Yes;0,0148338166666667
ITA;M;74;No;0,0105955833333333
ITA;M;75;Yes;0,0168203
ITA;M;75;No;0,0120145
ITA;M;76;Yes;0,0190883
ITA;M;76;No;0,0136345
ITA;M;77;Yes;0,0218258833333333
ITA;M;77;No;0,0155899166666667
ITA;M;78;Yes;0,0252460833333333
ITA;M;78;No;0,0180329166666667
ITA;M;79;Yes;0,0290738
ITA;M;79;No;0,020767
ITA;M;80;Yes;0,0333869666666667
ITA;M;80;No;0,0238478333333333
ITA;F;20;Yes;0,000257483333333333
ITA;F;20;No;0,000183916666666667
ITA;F;21;Yes;0,000240333333333333
ITA;F;21;No;0,000171666666666667
ITA;F;22;Yes;0,000230533333333333
ITA;F;22;No;0,000164666666666667
ITA;F;23;Yes;0,000243483333333333
ITA;F;23;No;0,000173916666666667
ITA;F;24;Yes;0,00025165
ITA;F;24;No;0,00017975
ITA;F;25;Yes;0,0002541
ITA;F;25;No;0,0001815
ITA;F;26;Yes;0,000262383333333333
ITA;F;26;No;0,000187416666666667
ITA;F;27;Yes;0,000278366666666667
ITA;F;27;No;0,000198833333333333
ITA;F;28;Yes;0,000291666666666667
ITA;F;28;No;0,000208333333333333
ITA;F;29;Yes;0,00032235
ITA;F;29;No;0,00023025
ITA;F;30;Yes;0,0003731
ITA;F;30;No;0,0002665
ITA;F;31;Yes;0,000403666666666667
ITA;F;31;No;0,000288333333333333
ITA;F;32;Yes;0,0004172
ITA;F;32;No;0,000298
ITA;F;33;Yes;0,000461533333333333
ITA;F;33;No;0,000329666666666667
ITA;F;34;Yes;0,000479733333333333
ITA;F;34;No;0,000342666666666667
ITA;F;35;Yes;0,000476933333333333
ITA;F;35;No;0,000340666666666667
ITA;F;36;Yes;0,00048055
ITA;F;36;No;0,00034325
ITA;F;37;Yes;0,000475533333333333
ITA;F;37;No;0,000339666666666667
ITA;F;38;Yes;0,0005019
ITA;F;38;No;0,0003585
ITA;F;39;Yes;0,000538766666666667
ITA;F;39;No;0,000384833333333333
ITA;F;40;Yes;0,00056385
ITA;F;40;No;0,00040275
ITA;F;41;Yes;0,000588116666666667
ITA;F;41;No;0,000420083333333333
ITA;F;42;Yes;0,00062965
ITA;F;42;No;0,00044975
ITA;F;43;Yes;0,000678533333333333
ITA;F;43;No;0,000484666666666667
ITA;F;44;Yes;0,00073115
ITA;F;44;No;0,00052225
ITA;F;45;Yes;0,00078225
ITA;F;45;No;0,00055875
ITA;F;46;Yes;0,0008442
ITA;F;46;No;0,000603
ITA;F;47;Yes;0,0009226
ITA;F;47;No;0,000659
ITA;F;48;Yes;0,00101056666666667
ITA;F;48;No;0,000721833333333334
ITA;F;49;Yes;0,0010892
ITA;F;49;No;0,000778
ITA;F;50;Yes;0,00117273333333333
ITA;F;50;No;0,000837666666666667
ITA;F;51;Yes;0,00126326666666667
ITA;F;51;No;0,000902333333333333
ITA;F;52;Yes;0,0013622
ITA;F;52;No;0,000973
ITA;F;53;Yes;0,00146405
ITA;F;53;No;0,00104575
ITA;F;54;Yes;0,00156706666666667
ITA;F;54;No;0,00111933333333333
ITA;F;55;Yes;0,00167556666666667
ITA;F;55;No;0,00119683333333333
ITA;F;56;Yes;0,00178173333333333
ITA;F;56;No;0,00127266666666667
ITA;F;57;Yes;0,00188498333333333
ITA;F;57;No;0,00134641666666667
ITA;F;58;Yes;0,0019817
ITA;F;58;No;0,0014155
ITA;F;59;Yes;0,00210956666666667
ITA;F;59;No;0,00150683333333333
ITA;F;60;Yes;0,00224968333333333
ITA;F;60;No;0,00160691666666667
ITA;F;61;Yes;0,00239225
ITA;F;61;No;0,00170875
ITA;F;62;Yes;0,00255255
ITA;F;62;No;0,00182325
ITA;F;63;Yes;0,0027419
ITA;F;63;No;0,0019585
ITA;F;64;Yes;0,00294968333333333
ITA;F;64;No;0,00210691666666667
ITA;F;65;Yes;0,00318558333333333
ITA;F;65;No;0,00227541666666667
ITA;F;66;Yes;0,0034699
ITA;F;66;No;0,0024785
ITA;F;67;Yes;0,00377673333333333
ITA;F;67;No;0,00269766666666667
ITA;F;68;Yes;0,00412766666666667
ITA;F;68;No;0,00294833333333333
ITA;F;69;Yes;0,00453681666666667
ITA;F;69;No;0,00324058333333333
ITA;F;70;Yes;0,00502051666666667
ITA;F;70;No;0,00358608333333333
ITA;F;71;Yes;0,005565
ITA;F;71;No;0,003975
ITA;F;72;Yes;0,00622265
ITA;F;72;No;0,00444475
ITA;F;73;Yes;0,00700595
ITA;F;73;No;0,00500425
ITA;F;74;Yes;0,0078897
ITA;F;74;No;0,0056355
ITA;F;75;Yes;0,00890038333333333
ITA;F;75;No;0,00635741666666667
ITA;F;76;Yes;0,0100578333333333
ITA;F;76;No;0,00718416666666667
ITA;F;77;Yes;0,0113829333333333
ITA;F;77;No;0,00813066666666667
ITA;F;78;Yes;0,0131327
ITA;F;78;No;0,0093805
ITA;F;79;Yes;0,0153123833333333
ITA;F;79;No;0,0109374166666667
ITA;F;80;Yes;0,0179436833333333
ITA;F;80;No;0,0128169166666667
